,xp,yp,zp,xp_pri,yp_pri,zp_pri,ed,time,evtid,type,trackid,parentid,creaproc,parenttype,edproc
0,-15.127057919896528,31.17782604856907,-60.48763359548211,-15.127057919896528,31.17782604856907,-60.48763359548211,200,0.0,0,gamma,0.0,0,None,None,None
1,38.93248740313369,-11.620962997909512,-7.746411270513022,38.93248740313369,-11.620962997909512,-7.746411270513022,200,0.0,1,gamma,0.0,0,None,None,None
2,24.00247193019079,38.3181023376668,-2.7130304447634614,24.00247193019079,38.3181023376668,-2.7130304447634614,200,0.0,2,gamma,0.0,0,None,None,None
3,-2.775133037762657,-47.1985152711648,-83.47238190139785,-2.775133037762657,-47.1985152711648,-83.47238190139785,200,0.0,3,gamma,0.0,0,None,None,None
4,22.01826527405918,5.49854267588585,-83.34540362028424,22.01826527405918,5.49854267588585,-83.34540362028424,200,0.0,4,gamma,0.0,0,None,None,None
5,-5.965275115272219,-28.060081683978225,-76.0250388844262,-5.965275115272219,-28.060081683978225,-76.0250388844262,200,0.0,5,gamma,0.0,0,None,None,None
6,33.30767014922463,-19.58956409502986,-62.17154122580449,33.30767014922463,-19.58956409502986,-62.17154122580449,200,0.0,6,gamma,0.0,0,None,None,None
7,-42.559556499121314,-8.340066580377474,-62.60705150760468,-42.559556499121314,-8.340066580377474,-62.60705150760468,200,0.0,7,gamma,0.0,0,None,None,None
8,17.445015389754058,8.977026537529605,-60.82085761831425,17.445015389754058,8.977026537529605,-60.82085761831425,200,0.0,8,gamma,0.0,0,None,None,None
9,15.986507854164232,37.58859332674013,-68.09997231682799,15.986507854164232,37.58859332674013,-68.09997231682799,200,0.0,9,gamma,0.0,0,None,None,None
10,-23.31906567625714,-23.15710437875094,-137.14435664136596,-23.31906567625714,-23.15710437875094,-137.14435664136596,200,0.0,10,gamma,0.0,0,None,None,None
11,-14.363633888132954,-13.828857258687034,-28.557650450145672,-14.363633888132954,-13.828857258687034,-28.557650450145672,200,0.0,11,gamma,0.0,0,None,None,None
12,17.878153734763078,-19.338976554241647,-9.828203207964663,17.878153734763078,-19.338976554241647,-9.828203207964663,200,0.0,12,gamma,0.0,0,None,None,None
